age_group,n,prefrail,frail,fi,source,lb,meas,sex,n_frail,n_prefrail,n_robust,robust,country
"[60,65)",46881,0.035344809197756,0.00132249738700113,efi,imrd-emis,1-year lookback,yes,Male,61.99999999999998,1656.9999999999989,45162,0.9633326934152429,UK
"[65,70)",43151,0.0607170169868601,0.0026187110379829,efi,imrd-emis,1-year lookback,yes,Male,113.00000000000011,2620,40418,0.936664271975157,UK
"[70,75)",36252,0.100794438927507,0.00673066313582699,efi,imrd-emis,1-year lookback,yes,Male,244.00000000000003,3653.9999999999836,32354.000000000015,0.892474897936666,UK
"[75,80)",29396,0.159035242890189,0.015410259899306,efi,imrd-emis,1-year lookback,yes,Male,452.9999999999992,4674.999999999995,24268.000000000004,0.825554497210505,UK
"[80,120]",43290,0.253915453915454,0.0343728343728344,efi,imrd-emis,1-year lookback,yes,Male,1488.0000000000011,10992.000000000004,30809.999999999996,0.7117117117117117,UK
"[40,45)",107209,0.007844490667761076,2.8915482841924983e-4,efi,imrd-emis,3-year lookback,no,All,30.999999999999353,840.9999999999973,106337,0.9918663545038197,UK
"[45,50)",107908,0.014438225154761484,4.0775475404974487e-4,efi,imrd-emis,3-year lookback,no,All,43.99999999999987,1558.0000000000023,106306,0.9851540200911888,UK
"[50,55)",110684,0.025676701239564913,0.0011383759170250415,efi,imrd-emis,3-year lookback,no,All,125.99999999999969,2842.0000000000027,107716,0.9731849228434101,UK
"[55,60)",100247,0.04110846209861642,0.0020549243368878888,efi,imrd-emis,3-year lookback,no,All,206.0000000000002,4121,95920,0.9568366135644957,UK
"[60,65)",90775,0.06805838611952629,0.004604792068300744,efi,imrd-emis,3-year lookback,no,All,418.00000000000006,6177.999999999999,84179,0.9273368218121729,UK
"[65,70)",84460,0.1059910016575893,0.01034809377219988,efi,imrd-emis,3-year lookback,no,All,874.0000000000018,8951.999999999993,74634,0.8836609045702107,UK
"[70,75)",73691,0.16289641882997963,0.021847986864067533,efi,imrd-emis,3-year lookback,no,All,1610.0000000000005,12004.00000000003,60076.99999999997,0.8152555943059528,UK
"[75,80)",61366,0.24275657530228467,0.04295538245934226,efi,imrd-emis,3-year lookback,no,All,2635.9999999999973,14897.000000000002,43833,0.71428804223837306,UK
"[80,120]",107588,0.3574469271665984,0.10430531286017052,efi,imrd-emis,3-year lookback,no,All,11222.000000000025,38456.99999999999,57908.999999999985,0.538247759973231,UK
"[40,45)",51159,0.0109462655642213,4.6912566703805e-4,efi,imrd-emis,3-year lookback,no,Female,23.9999999999996,559.9999999999975,50575,0.9885846087687405,UK
"[45,50)",51796,0.018843153911499,5.7919530465673e-4,efi,imrd-emis,3-year lookback,no,Female,29.999999999999986,976.0000000000022,50790,0.9805776507838443,UK
"[50,55)",53701,0.0311912254892833,0.0013780004096758,efi,imrd-emis,3-year lookback,no,Female,74.00000000000013,1675.0000000000025,51952,0.967430774101041,UK
"[55,60)",48163,0.047173141207981197,0.00234619936465752,efi,imrd-emis,3-year lookback,no,Female,113.00000000000014,2271.999999999998,45778,0.9504806594273613,UK
"[60,65)",43894,0.0731307240169499,0.00482981728710074,efi,imrd-emis,3-year lookback,no,Female,211.9999999999999,3209.9999999999986,40472,0.9220394586959494,UK
"[65,70)",41309,0.108087825897504,0.0103125226948123,efi,imrd-emis,3-year lookback,no,Female,426.0000000000013,4464.999999999993,36418.00000000001,0.8815996514076837,UK
"[70,75)",37439,0.160554501989904,0.0216619033628035,efi,imrd-emis,3-year lookback,no,Female,811.0000000000002,6011.000000000016,30616.999999999985,0.8177835946472926,UK
"[75,80)",31970,0.243603378167032,0.0418517360025023,efi,imrd-emis,3-year lookback,no,Female,1337.9999999999984,7788.000000000014,22843.999999999985,0.7145448858304656,UK
"[80,120]",64298,0.364925814177735,0.107421692743165,efi,imrd-emis,3-year lookback,no,Female,6907.000000000024,23464.000000000007,33926.99999999997,0.5276524930791,UK
"[40,45)",56050,0.00501338090990187,1.2488849241748e-4,efi,imrd-emis,3-year lookback,no,Male,6.999999999999754,280.9999999999998,55762,0.9948617305976807,UK
"[45,50)",56112,0.0103721129170231,2.4950099800399e-4,efi,imrd-emis,3-year lookback,no,Male,13.999999999999886,582.0000000000002,55516,0.9893783860849729,UK
"[50,55)",56983,0.0204797922187319,9.1255286664443e-4,efi,imrd-emis,3-year lookback,no,Male,51.99999999999955,1167,55764,0.9786076549146236,UK
"[55,60)",52084,0.0355003455955764,0.00178557714461255,efi,imrd-emis,3-year lookback,no,Male,93.00000000000006,1849.0000000000014,50142,0.9627140772598111,UK
"[60,65)",46881,0.0633092297519251,0.00439410422132634,efi,imrd-emis,3-year lookback,no,Male,206.00000000000017,2968.0000000000005,43707,0.9322966660267485,UK
"[65,70)",43151,0.103983685198489,0.0103821464160738,efi,imrd-emis,3-year lookback,no,Male,448.00000000000057,4486.999999999999,38216,0.8856341683854372,UK
"[70,75)",36252,0.165315017102505,0.0220401633013351,efi,imrd-emis,3-year lookback,no,Male,799.0000000000001,5993.000000000012,29459.99999999999,0.8126448195961599,UK
"[75,80)",29396,0.241835623894407,0.0441556674377466,efi,imrd-emis,3-year lookback,no,Male,1297.999999999999,7108.999999999988,20989.00000000001,0.7140087086678464,UK
"[80,120]",43290,0.346338646338646,0.0996765996765997,efi,imrd-emis,3-year lookback,no,Male,4315.000000000001,14992.999999999984,23982.000000000015,0.5539847539847543,UK
"[40,45)",107209,0.01107183165592443,3.731030044119402e-4,efi,imrd-emis,3-year lookback,yes,All,39.9999999999997,1187.0000000000023,105982,0.9885550653396636,UK
"[45,50)",107908,0.019303480742855015,7.321051265893123e-4,efi,imrd-emis,3-year lookback,yes,All,78.99999999999952,2082.999999999999,105746,0.9799644141305557,UK
"[50,55)",110684,0.0328322070037223,0.001689494416537171,efi,imrd-emis,3-year lookback,yes,All,187.00000000000023,3633.999999999999,106863,0.9654782985797405,UK
"[55,60)",100247,0.052031482238869976,0.0033217951659401273,efi,imrd-emis,3-year lookback,yes,All,332.99999999999994,5215.999999999998,94698,0.9446467225951899,UK
"[60,65)",90775,0.0834811346736436,0.006885155604516662,efi,imrd-emis,3-year lookback,yes,All,625,7577.999999999997,82572,0.9096337097218398,UK
"[65,70)",84460,0.12526639829505112,0.014953824295524514,efi,imrd-emis,3-year lookback,yes,All,1263.0000000000005,10580.000000000018,72616.99999999999,0.8597797774094245,UK
"[70,75)",73691,0.18679350259868951,0.030098655195342702,efi,imrd-emis,3-year lookback,yes,All,2217.999999999999,13765.00000000003,57707.99999999997,0.7831078422059677,UK
"[75,80)",61366,0.2695629501678455,0.05801258025616792,efi,imrd-emis,3-year lookback,yes,All,3560.0000000000005,16542.000000000007,41263.99999999999,0.6724244695759866,UK
"[80,120]",107588,0.3842621853738335,0.13531248838160403,efi,imrd-emis,3-year lookback,yes,All,14558.000000000015,41342,51687.999999999985,0.48042532624456247,UK
"[40,45)",51159,0.0150511151508044,5.6686018100432e-4,efi,imrd-emis,3-year lookback,yes,Female,29.000000000000007,770.0000000000023,50360,0.9843820246681914,UK
"[45,50)",51796,0.0242875897752722,9.6532550776121e-4,efi,imrd-emis,3-year lookback,yes,Female,49.99999999999963,1257.9999999999989,50488,0.9747470847169666,UK
"[50,55)",53701,0.0391054170313402,0.00197389247872479,efi,imrd-emis,3-year lookback,yes,Female,105.99999999999994,2100,51495,0.958920690489935,UK
"[55,60)",48163,0.0576998941095862,0.00359196893881195,efi,imrd-emis,3-year lookback,yes,Female,172.99999999999994,2779.0000000000005,45211,0.9387081369516018,UK
"[60,65)",43894,0.087506265093179,0.00674351847632934,efi,imrd-emis,3-year lookback,yes,Female,296.00000000000006,3840.999999999999,39757,0.9057502164304916,UK
"[65,70)",41309,0.124766999927377,0.0145246798518483,efi,imrd-emis,3-year lookback,yes,Female,600.0000000000015,5154.000000000016,35554.999999999985,0.8607083202207748,UK
"[70,75)",37439,0.181254841208366,0.0285531130639173,efi,imrd-emis,3-year lookback,yes,Female,1068.9999999999998,6786.000000000015,29583.999999999985,0.7901920457277167,UK
